index,Category,Sub-Category,Company
0,C2C,F2F,Western Union
1,C2C,F2F,Wise
2,C2C,F2F,PayPal
3,C2C,F2F,Venmo
4,C2C,F2F,Google Pay (Global)
5,C2C,Fiat to Crypto,Simplex
6,C2C,Fiat to Crypto,Kraken
7,C2C,Fiat to Crypto,Binance
8,C2C,Crypto to Fiat,Moon Pay
9,C2C,Crypto to Fiat,Binance
10,C2C,Crypto to Fiat,Coinbase
11,C2C,Crypto to Fiat,Bitpay
12,C2C,Crypto to Crypto,Crypto
13,C2C,Crypto to Crypto,Binance
14,C2C,Crypto to Crypto,Coinbase
15,C2C,Crypto to Crypto,Kriptomat
16,C2C,Crypto to Crypto,Connext Bridge (Cross Chain)
17,C2C,Crypto to Crypto,Circle (Cross Chain)
18,C2C,Crypto to Crypto,Celer C Bridge (Cross Chain)
19,C2C,Crypto to Crypto,Multichain (Cross Chain)
20,C2Br,F2F,Razorpay
21,C2Br,F2F,Paytm
22,C2Br,F2F,PayPal
23,C2Br,F2F,Apple Pay
24,C2Br,F2F,Google Pay (Global)
25,C2Br,Fiat to Crypto,Alchemy Pay
26,C2Br,Fiat to Crypto,cryptocoin
27,C2Br,Fiat to Crypto,BitPay
28,C2Br,Fiat to Crypto,CoinBase Commerce
29,C2Br,Crypto to Fiat,Bitpay
30,C2Br,Crypto to Fiat,Monei
31,C2Br,Crypto to Fiat,BitPay
32,C2Br,Crypto to Fiat,CoinBase Commerce
33,C2Br,Crypto to Crypto,Bitpay
34,C2Br,Crypto to Crypto,Stripe
35,C2Br,Crypto to Crypto,BitPay
36,C2Br,Crypto to Crypto,Stripe
37,C2Br,Crypto to Crypto,Crossmint (Cross Chain)
38,C2Br,Crypto to Crypto,use winter (Cross Chain)
39,C2Br,Crypto to Crypto,Utrust (Cross Chain)
40,C2Br,Crypto to Crypto,Simplex (Cross Chain)
41,B2B,F2F,Razorpay
42,B2B,F2F,Paytm
43,B2B,F2F,PayPal
44,B2B,F2F,Apple Pay
45,B2B,F2F,Google Pay (Global)
46,B2B,Fiat to Crypto,Alchemy Pay
47,B2B,Fiat to Crypto,cryptocoin
48,B2B,Fiat to Crypto,BitPay
49,B2B,Fiat to Crypto,CoinBase Commerce
50,B2B,Crypto to Fiat,Bitpay
51,B2B,Crypto to Fiat,Monei
52,B2B,Crypto to Fiat,BitPay
53,B2B,Crypto to Fiat,CoinBase Commerce
54,B2B,Crypto to Crypto,Bitpay
55,B2B,Crypto to Crypto,Stripe
56,B2B,Crypto to Crypto,BitPay
57,B2B,Crypto to Crypto,Stripe
58,B2B,Crypto to Crypto,Crossmint (Cross Chain)
59,B2B,Crypto to Crypto,use winter (Cross Chain)
60,B2B,Crypto to Crypto,Utrust (Cross Chain)
61,B2B,Crypto to Crypto,Simplex (Cross Chain)
62,B2C,F2F,Stripe
63,B2C,F2F,Google Pay (Global)
64,B2C,Fiat to Crypto,Alchemy Pay
65,B2C,Fiat to Crypto,cryptocoin
66,B2C,Fiat to Crypto,CoinBase Commerce
67,B2C,Fiat to Crypto,coinfy
68,B2C,Crypto to Fiat,B2Bpay
69,B2C,Crypto to Fiat,Alchemy Pay
70,B2C,Crypto to Fiat,B2Bpay
71,B2C,Crypto to Fiat,Stripe
72,B2C,Crypto to Crypto,Stripe
73,B2C,Crypto to Crypto,Get Orbital
74,B2C,Crypto to Crypto,BitPay
75,B2C,Crypto to Crypto,CoinBase Commerce
76,B2C,Crypto to Crypto,Crossmint (Cross Chain)
77,B2C,Crypto to Crypto,Whitpaper (Cross Chain)
78,B2C,Crypto to Crypto,Utrust (Cross Chain)
79,B2C,Crypto to Crypto,Simplex (Cross Chain)
80,Global Strategic,NA,Azimo Limited
81,Global Strategic,NA,Digital Wallet Corporation
82,Global Strategic,NA,Flywire
83,Global Strategic,NA,InstaReM Pvt. Ltd.
84,Global Strategic,NA,MoneyGram
85,Global Strategic,NA,"PayPal Holdings, Inc."
86,Global Strategic,NA,"Remitly, Inc."
87,Global Strategic,NA,Ria Financial Services Ltd.
88,Global Strategic,NA,Ripple.
89,Global Strategic,NA,SingX Pte Ltd.
90,Global Strategic,NA,TNG Wallet
91,Global Strategic,NA,TransferGo Ltd.
92,Global Strategic,NA,TransferWise Ltd.
93,Global Strategic,NA,"Western Union Holdings, Inc."
94,Global Strategic,NA,WorldRemit Ltd.
95,Global Digital Payments Market Key Players,NA,Aliant Payments
96,Global Digital Payments Market Key Players,NA,Aurus Inc.
97,Global Digital Payments Market Key Players,NA,Adyen
98,Global Digital Payments Market Key Players,NA,Financial Software & Systems Pvt. Ltd.
99,Global Digital Payments Market Key Players,NA,PayPal Holdings Inc.
100,Global Digital Payments Market Key Players,NA,Novatti Group Pty Ltd.
101,Global Digital Payments Market Key Players,NA,"ACI Worldwide, Inc."
102,Global Digital Payments Market Key Players,NA,Global Payments Inc.
103,Global Digital Payments Market Key Players,NA,Wirecard
104,Global Digital Payments Market Key Players,NA,Authorize.net
105,Global Digital Payments Market Key Players,NA,"Total System Services, Inc."
106,Indian Payment Market Leaders,NA,Visa
107,Indian Payment Market Leaders,NA,Mastercard
108,Indian Payment Market Leaders,NA,PhonePe
109,Indian Payment Market Leaders,NA,Google Pay
110,Indian Payment Market Leaders,NA,RuPay
